Product Name,Price,Discount,Category,Brand,Rating,Number of Reviews
"KEBILSHOP Power Cable/Cord/Plug for PS2, PS3, PS4, Xbox One S and Xbox One X Consoles (Cable Only), Black",249,(38% off),Gaming Consoles,KEBILSHOP,"4.3 out of 5 stars, rating details",69
"INOVERA World Map Anti-Slip Extended Desk Mat Gaming Rubber Stitched Mouse Pad for Laptop and Computer, 600L x 300B mm (Black, Medium)",251,(72% off),Computer Accessories,INOVERA,"4.4 out of 5 stars, rating details","5,186"
"YellowCult USB Bluetooth Adapter for PC, 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for Desktop, Laptop, Mouse, Keyboard, Printers, Headsets, Speakers, PS4/ Xbox Controllers",253,(49% off),Computer Accessories,YellowCult,"3.3 out of 5 stars, rating details","1,350"
HUMBLE 7-in-1 Multifunctional Electronic Cleaner Kit | Keyboard Cleaner Kit | Cleaning Kit for Airpods & Laptop | Screen Dust Brush | Soft Swipe Airpods Cleaner Pen | Key Puller & Empty Spray Bottle,259,(74% off),Computer Accessories,HUMBLE,"4.6 out of 5 stars, rating details",151
"NimboseÂ® Computer Cleaning Brush Set, Plastic Mini Laptop Keyboard Dust Cleaning Small Brush Set (Random Colors, Set of 2), Multicolour",259,(35% off),Computer Accessories,NimboseÂ®,"3.9 out of 5 stars, rating details",485
amazon basics Wireless Mouse | 2.4 Ghz with USB Nano Receiver | 1000 DPI Optical Tracking | Compatible with PC & Laptop (White & Black),259,(63% off),Computer Accessories,Amazon Basics,"3.7 out of 5 stars, rating details","3,995"
VGRASSP Handheld Portable Indoor and Outdoor Brick Game 9999 in 1 Video Game Compatible for Kids - Colour and Design as per Stock,265,(73% off),Gaming Consoles,VGRASSP,"2.9 out of 5 stars, rating details",607
DarahsÂ® Pro Console Power Cable Compatible for PlayStation,265,(67% off),Gaming Consoles,DarahsÂ®,"4.3 out of 5 stars, rating details",13
"iTronix Portable Invisible Laptop Riser Stand | Mini Aluminum Cooling Pad, Lightweight Laptop Desk Stand for MacBook, Lenovo, Dell, HP & Other Laptops",269,(79% off),Computer Accessories,iTronix,"4.1 out of 5 stars, rating details",51
"ZEBRONICS Dash Pro 2.4GHz Wireless Mouse, Upto 1600 DPI, 3 Level DPI, High Precision, Power Saving Mode, Comfortable & Lightweight, for Mac | Laptop | Computer (Blue)",269,(55% off),Computer Accessories,Zebronics,"3.8 out of 5 stars, rating details",505
"ZEBRONICS UTS100 USB 3.0 to SATA Adapter for 2.5 HDD/SSD with Plug & Play, Durable Material, Super Fast Transfer, Upto 5 Gbps, Black",269,(73% off),Computer Accessories,Zebronics,"3.8 out of 5 stars, rating details",902
